Name,Instagram,Insta Followers,Insta Avg Likes
Brajesh Kumar Singh,https://www.instagram.com/brajeshofficial,128626,288.5
Anku Sharma,https://www.instagram.com/ankusharma1417,100886,4969.33
Tripti Charan,https://www.instagram.com/love_yourself_love_life,122136,1532.75
archisha tripathi,https://www.instagram.com/foodparadise_india,175596,1679.08
Mr. Ranawat,https://www.instagram.com/ranawat.official,117122,2749
su mysunshine,https://www.instagram.com/sunayanaf,289415,36652.08
Rishina Talreja,https://www.instagram.com/rishinatalreja,108414,1410.08
Srijita Mitra,https://www.instagram.com/miss_mitraaaaaaa,340162,19297.33
simran jain,https://www.instagram.com/simranbalarjain,101471,4934.58
Bhumy gor,https://www.instagram.com/bhumygor,103557,949.75
Chatpati Shikha,https://www.instagram.com/chatpati_shikha,125339,1472.83
Prerna Harsh,https://www.instagram.com/wanderershub,111687,13678.08
pankhurie mulasi,https://www.instagram.com/pankhuriethediva,166573,397.33
Bhavika Motwani,https://www.instagram.com/bhavika_motwani,423914,13756.25
Surbhi Kaushik,https://www.instagram.com/surbhikaushik,150321,9884.33
shiwangi peswani,https://www.instagram.com/shiwangi_peswani,113508,1056.58
Paras,https://www.instagram.com/thatstunningguy,106042,1056.08
Shagun Segan,https://www.instagram.com/eattripclick,131695,3277.92
Johnny Creek,https://www.instagram.com/johnnycreek,230551,2489.42
Brinda,https://www.instagram.com/brindaashah,107847,1149.25
Bhumika Thakkar,https://www.instagram.com/bhumika_t,295933,3124
nitika panjwani,https://www.instagram.com/nitika.panjwani,103617,953.33
saurabh nirmal,https://www.instagram.com/thatdelhifoodie,153707,2411.75
Sarthak Chopra,https://www.instagram.com/the_travel_express,111841,4385.75
Vidhi Shah,https://www.instagram.com/a_lot_from_life,116375,593.67
Anamika Mishra,https://www.instagram.com/anamikawrites,108232,2756.33
Nivedith Gajapathy,https://www.instagram.com/nivedithg,202233,2778.17
Aditi Gautam,https://www.instagram.com/aditigautamofficial,184075,4048.08
Udit Batra,https://www.instagram.com/bhukkhadbybirth,166398,2763.58
Omkar khanna,https://www.instagram.com/khannaomkar,126950,31584.08
lubaina,https://www.instagram.com/hey.delhi,194916,621.33
Satyajit Majumder,https://www.instagram.com/thetwoinoneguy,190056,2273.92
Rajvee Gandhi,https://www.instagram.com/rxjvee,1168349,77189.42
Roshni Kapoor,https://www.instagram.com/roshni.kapoor,1220272,22951.5
rani patel,https://www.instagram.com/ranipatelofficial,103649,626.08
thasvy,https://www.instagram.com/thasvy,490630,63549
Niz Gautam,https://www.instagram.com/niz_gautam,108633,2201.75
Khushi jain,https://www.instagram.com/djkhushi_techmystery,117459,2489.67
Shayan Siddiqui,https://www.instagram.com/shayansiddiqui,617723,16165.5
Needa Khan,https://www.instagram.com/foodbossindia,154136,1529
Shivam jindal,https://www.instagram.com/shivamjindalofficial,103993,859.42
Amy Aela,https://www.instagram.com/amyaela,376586,24396.25
nitika panjwani,https://www.instagram.com/nitika.panjwani,103617,953.33
yogita Agarwal,https://www.instagram.com/yogita_yana,252140,6742.92
